;Tarih;TP_BEKODTUFE_BT74
0;2017-11;0.0
1;2017-12;0.0
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.0
8;2018-7;0.0
9;2018-8;0.0
10;2018-9;0.0
11;2018-10;0.0
12;2018-11;0.0
13;2018-12;0.0
14;2019-1;0.0
15;2019-2;0.0
16;2019-3;0.0
17;2019-4;0.0
18;2019-5;0.0
19;2019-6;0.0
20;2019-7;0.0
21;2019-8;0.0
22;2019-9;0.0
23;2019-10;0.0
24;2019-11;0.0
25;2019-12;0.0
26;2020-1;0.0
27;2020-2;0.0
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;0.0
34;2020-9;0.0
35;2020-10;0.0
36;2020-11;0.0
37;2020-12;0.0
38;2021-1;0.0
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;0.0
42;2021-5;0.0
43;2021-6;0.0
44;2021-7;0.0
45;2021-8;0.0
46;2021-9;0.0
47;2021-10;0.0
48;2021-11;0.0
49;2021-12;2.7066
50;2022-1;6.2222
51;2022-2;4.6137
52;2022-3;6.5379
53;2022-4;5.7419
54;2022-5;5.0769
55;2022-6;6.1111
56;2022-7;2.5571
57;2022-8;2.8
58;2022-9;5.36
59;2022-10;4.3454
60;2022-11;5.6285
61;2022-12;9.89
62;2023-1;2.58
63;2023-2;0.2737
64;2023-3;4.4667
65;2023-4;5.8909
66;2023-5;5.3565
67;2023-6;6.6762
68;2023-7;5.975
69;2023-8;9.048
70;2023-9;6.48
71;2023-10;2.8
72;2023-11;5.565
