;Tarih;TP_BEKODTUFE_BT140
0;2017-11;0.0
1;2017-12;0.0
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.0
8;2018-7;0.0
9;2018-8;0.0
10;2018-9;0.0
11;2018-10;0.0
12;2018-11;0.0
13;2018-12;0.0
14;2019-1;0.0
15;2019-2;0.0
16;2019-3;0.0
17;2019-4;0.0
18;2019-5;0.0
19;2019-6;0.0
20;2019-7;0.0
21;2019-8;0.0
22;2019-9;0.0
23;2019-10;0.0
24;2019-11;0.0
25;2019-12;0.0
26;2020-1;0.0
27;2020-2;0.0
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;0.0
34;2020-9;0.0
35;2020-10;0.0
36;2020-11;0.0
37;2020-12;0.0
38;2021-1;0.0
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;0.0
42;2021-5;0.0
43;2021-6;0.0
44;2021-7;0.0
45;2021-8;0.0
46;2021-9;0.0
47;2021-10;0.0
48;2021-11;0.0
49;2021-12;0.0
50;2022-1;0.0
51;2022-2;0.0
52;2022-3;0.0
53;2022-4;0.0
54;2022-5;0.6
55;2022-6;0.0
56;2022-7;0.0
57;2022-8;0.2086
58;2022-9;0.0
59;2022-10;0.0
60;2022-11;0.4761
61;2022-12;0.0
62;2023-1;0.0
63;2023-2;0.0
64;2023-3;0.0
65;2023-4;0.0
66;2023-5;0.0
67;2023-6;0.2476
68;2023-7;0.4167
69;2023-8;0.4
70;2023-9;2.48
71;2023-10;1.65
72;2023-11;0.51
