;Tarih;TP_BEKODTUFE_BT6
0;2013-6;4.31
1;2013-7;1.19
2;2013-8;2.59
3;2013-9;0.7
4;2013-10;1.4
5;2013-11;1.31
6;2013-12;0.53
7;2014-1;0.5
8;2014-2;0.11
9;2014-3;0.0
10;2014-4;0.85
11;2014-5;0.48
12;2014-6;0.76
13;2014-7;0.69
14;2014-8;0.21
15;2014-9;0.0
16;2014-10;0.43
17;2014-11;0.09
18;2014-12;0.05
19;2015-1;0.42
20;2015-2;0.56
21;2015-3;0.41
22;2015-4;0.06
23;2015-5;0.56
24;2015-6;0.0
25;2015-7;0.31
26;2015-8;0.33
27;2015-9;0.0
28;2015-10;0.0
29;2015-11;0.0
30;2015-12;0.0
31;2016-1;0.0
32;2016-2;0.0
33;2016-3;0.0
34;2016-4;0.0
35;2016-5;0.0
36;2016-6;0.0
37;2016-7;0.0
38;2016-8;0.0
39;2016-9;0.0
40;2016-10;0.0
41;2016-11;0.0
42;2016-12;0.0
43;2017-1;0.0
44;2017-2;0.0
45;2017-3;0.0
46;2017-4;0.0
47;2017-5;0.0
48;2017-6;0.0
49;2017-7;0.0
50;2017-8;0.0
51;2017-9;0.0
52;2017-10;0.0
53;2017-11;0.0
54;2017-12;0.0
55;2018-1;0.0
56;2018-2;0.0
57;2018-3;0.0
58;2018-4;0.0
59;2018-5;0.0
60;2018-6;0.0
61;2018-7;0.0
62;2018-8;0.0
63;2018-9;0.0
64;2018-10;0.0
65;2018-11;0.0
66;2018-12;0.0
67;2019-1;0.0
68;2019-2;0.0
69;2019-3;0.0
70;2019-4;0.0
71;2019-5;0.0
72;2019-6;0.0
73;2019-7;0.0
74;2019-8;0.0
75;2019-9;0.0
76;2019-10;0.0
77;2019-11;0.0
78;2019-12;0.0
79;2020-1;0.0
80;2020-2;0.0
81;2020-3;0.0
82;2020-4;0.0
83;2020-5;0.0
84;2020-6;0.0
85;2020-7;1.55
86;2020-8;0.0
87;2020-9;0.0
88;2020-10;0.0
89;2020-11;0.0
90;2020-12;0.0
91;2021-1;0.0
92;2021-2;0.0
93;2021-3;0.0
94;2021-4;0.0
95;2021-5;0.0
96;2021-6;0.0
97;2021-7;0.0
98;2021-8;0.0
99;2021-9;0.0
100;2021-10;0.0
101;2021-11;0.0
102;2021-12;0.0
103;2022-1;0.0
104;2022-2;0.0
105;2022-3;0.0
106;2022-4;0.0
107;2022-5;0.0
108;2022-6;0.0
109;2022-7;0.0
110;2022-8;0.0
111;2022-9;0.0
112;2022-10;0.0
113;2022-11;0.0
114;2022-12;0.0
115;2023-1;0.0
116;2023-2;0.0
117;2023-3;0.0
118;2023-4;0.0
119;2023-5;0.0
120;2023-6;0.0
121;2023-7;0.0
122;2023-8;0.0
123;2023-9;0.0
124;2023-10;0.0
125;2023-11;0.0
