;Tarih;TP_DB_B16
0;1989-Q4;3118.0
1;1990-Q1;3758.0
2;1990-Q2;4201.0
3;1990-Q3;4980.0
4;1990-Q4;5373.0
5;1991-Q1;5469.0
6;1991-Q2;5217.0
7;1991-Q3;5027.0
8;1991-Q4;5216.0
9;1992-Q1;4536.0
10;1992-Q2;5368.0
11;1992-Q3;6205.0
12;1992-Q4;7157.0
13;1993-Q1;6874.0
14;1993-Q2;8097.0
15;1993-Q3;9651.0
16;1993-Q4;11127.0
17;1994-Q1;8877.0
18;1994-Q2;6782.0
19;1994-Q3;5988.0
20;1994-Q4;4684.0
21;1995-Q1;5809.0
22;1995-Q2;6092.0
23;1995-Q3;6770.0
24;1995-Q4;6659.0
25;1996-Q1;6038.0
26;1996-Q2;7168.0
27;1996-Q3;7628.0
28;1996-Q4;8419.0
29;1997-Q1;7444.0
30;1997-Q2;8285.0
31;1997-Q3;8574.0
32;1997-Q4;8503.0
33;1998-Q1;9173.0
34;1998-Q2;10193.0
35;1998-Q3;10983.0
36;1998-Q4;9730.0
37;1999-Q1;10173.0
38;1999-Q2;9502.0
39;1999-Q3;10679.0
40;1999-Q4;11591.0
41;2000-Q1;13030.0
42;2000-Q2;12498.0
43;2000-Q3;14430.0
44;2000-Q4;15439.0
45;2001-Q1;13714.0
46;2001-Q2;11938.0
47;2001-Q3;9641.0
48;2001-Q4;6978.0
49;2002-Q1;5904.0
50;2002-Q2;6045.0
51;2002-Q3;4867.0
52;2002-Q4;5625.0
53;2003-Q1;6897.0
54;2003-Q2;6458.0
55;2003-Q3;8430.0
56;2003-Q4;9408.0
57;2004-Q1;10304.0
58;2004-Q2;11871.0
59;2004-Q3;13328.0
60;2004-Q4;13429.0
61;2005-Q1;15125.0
62;2005-Q2;16760.0
63;2005-Q3;19192.0
64;2005-Q4;18293.0
65;2006-Q1;22029.0
66;2006-Q2;22494.0
67;2006-Q3;21270.0
68;2006-Q4;21168.0
69;2007-Q1;15091.0
70;2007-Q2;15682.0
71;2007-Q3;13853.0
72;2007-Q4;16431.0
73;2008-Q1;17125.0
74;2008-Q2;21887.0
75;2008-Q3;24332.0
76;2008-Q4;23760.0
77;2009-Q1;20051.0
78;2009-Q2;19928.0
79;2009-Q3;20078.0
80;2009-Q4;22181.0
81;2010-Q1;27049.0
82;2010-Q2;33768.0
83;2010-Q3;37963.0
84;2010-Q4;49263.0
85;2011-Q1;47909.0
86;2011-Q2;53561.0
87;2011-Q3;53001.0
88;2011-Q4;48584.0
89;2012-Q1;51552.0
90;2012-Q2;56038.0
91;2012-Q3;60413.0
92;2012-Q4;61465.0
93;2013-Q1;73283.0
94;2013-Q2;78480.0
95;2013-Q3;79627.0
96;2013-Q4;82676.0
97;2014-Q1;78522.0
98;2014-Q2;83217.0
99;2014-Q3;83357.0
100;2014-Q4;84762.0
101;2015-Q1;83349.0
102;2015-Q2;79955.0
103;2015-Q3;72583.0
104;2015-Q4;55843.0
105;2016-Q1;56037.0
106;2016-Q2;54840.0
107;2016-Q3;51396.0
108;2016-Q4;41875.0
109;2017-Q1;46621.0
110;2017-Q2;48565.0
111;2017-Q3;48294.0
112;2017-Q4;48477.0
113;2018-Q1;49017.0
114;2018-Q2;45991.0
115;2018-Q3;40550.0
116;2018-Q4;33246.0
117;2019-Q1;30865.0
118;2019-Q2;31777.0
119;2019-Q3;32030.0
120;2019-Q4;29860.0
121;2020-Q1;27776.0
122;2020-Q2;29150.0
123;2020-Q3;29324.0
124;2020-Q4;31949.0
125;2021-Q1;30579.0
126;2021-Q2;30742.0
127;2021-Q3;29194.0
128;2021-Q4;27816.0
129;2022-Q1;28960.0
130;2022-Q2;30352.0
131;2022-Q3;29774.0
132;2022-Q4;34042.0
133;2023-Q1;33420.0
134;2023-Q2;33754.0
135;2023-Q3;33409.0
