;Tarih;TP_BEK_S05_B_X
0;2013-1;81.0
1;2013-2;89.0
2;2013-3;95.0
3;2013-4;90.0
4;2013-5;88.0
5;2013-6;79.0
6;2013-7;77.0
7;2013-8;72.0
8;2013-9;81.0
9;2013-10;79.0
10;2013-11;82.0
11;2013-12;76.0
12;2014-1;76.0
13;2014-2;88.0
14;2014-3;82.0
15;2014-4;78.0
16;2014-5;79.0
17;2014-6;74.0
18;2014-7;73.0
19;2014-8;72.0
20;2014-9;82.0
21;2014-10;74.0
22;2014-11;75.0
23;2014-12;68.0
24;2015-1;84.0
25;2015-2;77.0
26;2015-3;69.0
27;2015-4;74.0
28;2015-5;71.0
29;2015-6;70.0
30;2015-7;72.0
31;2015-8;67.0
32;2015-9;72.0
33;2015-10;69.0
34;2015-11;76.0
35;2015-12;79.0
36;2016-1;71.0
37;2016-2;72.0
38;2016-3;61.0
39;2016-4;71.0
40;2016-5;65.0
41;2016-6;65.0
42;2016-7;70.0
43;2016-8;61.0
44;2016-9;68.0
45;2016-10;70.0
46;2016-11;68.0
47;2016-12;69.0
48;2017-1;70.0
49;2017-2;65.0
50;2017-3;74.0
51;2017-4;66.0
52;2017-5;68.0
53;2017-6;78.0
54;2017-7;69.0
55;2017-8;62.0
56;2017-9;69.0
57;2017-10;63.0
58;2017-11;74.0
59;2017-12;71.0
60;2018-1;66.0
61;2018-2;75.0
62;2018-3;74.0
63;2018-4;74.0
64;2018-5;67.0
65;2018-6;66.0
66;2018-7;65.0
67;2018-8;55.0
68;2018-9;66.0
69;2018-10;67.0
70;2018-11;68.0
71;2018-12;68.0
72;2019-1;73.0
73;2019-2;68.0
74;2019-3;70.0
75;2019-4;66.0
76;2019-5;61.0
77;2019-6;64.0
78;2019-7;62.0
79;2019-8;61.0
80;2019-9;61.0
81;2019-10;64.0
82;2019-11;61.0
83;2019-12;65.0
84;2020-1;60.0
85;2020-2;65.0
86;2020-3;61.0
87;2020-4;57.0
88;2020-5;58.0
89;2020-6;60.0
90;2020-7;59.0
91;2020-8;59.0
92;2020-9;55.0
93;2020-10;59.0
94;2020-11;55.0
95;2020-12;60.0
96;2021-1;59.0
97;2021-2;56.0
98;2021-3;61.0
99;2021-4;55.0
100;2021-5;57.0
101;2021-6;54.0
102;2021-7;53.0
103;2021-8;50.0
104;2021-9;54.0
105;2021-10;49.0
106;2021-11;46.0
107;2021-12;47.0
108;2022-1;45.0
109;2022-2;50.0
110;2022-3;48.0
111;2022-4;49.0
112;2022-5;46.0
113;2022-6;48.0
114;2022-7;46.0
115;2022-8;40.0
116;2022-9;38.0
117;2022-10;39.0
118;2022-11;39.0
119;2022-12;42.0
120;2023-1;37.0
121;2023-2;32.0
122;2023-3;37.0
123;2023-4;36.0
124;2023-5;35.0
125;2023-6;33.0
126;2023-7;37.0
127;2023-8;36.0
128;2023-9;38.0
129;2023-10;68.0
130;2023-11;68.0
131;2023-12;70.0
132;2024-1;67.0
