;Tarih;TP_DB_D23
0;1983-Q4;575.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;761.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;914.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;999.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;1038.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;886.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;697.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;564.0
29;1991-Q1;538.0
30;1991-Q2;493.0
31;1991-Q3;440.0
32;1991-Q4;438.0
33;1992-Q1;402.0
34;1992-Q2;400.0
35;1992-Q3;424.0
36;1992-Q4;363.0
37;1993-Q1;339.0
38;1993-Q2;340.0
39;1993-Q3;322.0
40;1993-Q4;317.0
41;1994-Q1;303.0
42;1994-Q2;292.0
43;1994-Q3;246.0
44;1994-Q4;236.0
45;1995-Q1;224.0
46;1995-Q2;219.0
47;1995-Q3;213.0
48;1995-Q4;247.0
49;1996-Q1;236.0
50;1996-Q2;240.0
51;1996-Q3;216.0
52;1996-Q4;195.0
